intent,range,defense,fps,result,dense_result,min_dense_gap_m
RearHook,1.50,1,60,MISS,MISS,0.727021
RearHook,1.50,1,120,MISS,MISS,0.727021
RearHook,1.50,2,15,MISS,MISS,0.598250
RearHook,1.50,2,30,MISS,MISS,0.598250
RearHook,1.50,2,60,MISS,MISS,0.598250
RearHook,1.50,2,120,MISS,MISS,0.598250
RearHook,0.94,0,15,BLOCK,BLOCK,-0.053101
RearHook,0.94,0,30,BLOCK,BLOCK,-0.053101
RearHook,0.94,0,60,BLOCK,BLOCK,-0.053101
RearHook,0.94,0,120,BLOCK,BLOCK,-0.053101
RearHook,0.94,1,15,MISS,MISS,0.163169
RearHook,0.94,1,30,MISS,MISS,0.163169
RearHook,0.94,1,60,MISS,MISS,0.163169
RearHook,0.94,1,120,MISS,MISS,0.163169
RearHook,0.94,2,15,MISS,MISS,0.017261
RearHook,0.94,2,30,MISS,MISS,0.017261
RearHook,0.94,2,60,MISS,MISS,0.017261
RearHook,0.94,2,120,MISS,MISS,0.017261
RearHook,0.69,0,15,BLOCK,BLOCK,-0.123984
RearHook,0.69,0,30,BLOCK,BLOCK,-0.123984
RearHook,0.69,0,60,BLOCK,BLOCK,-0.123984
RearHook,0.69,0,120,BLOCK,BLOCK,-0.123984
RearHook,0.69,1,15,HIT,HIT,-0.096320
RearHook,0.69,1,30,HIT,HIT,-0.096320
RearHook,0.69,1,60,HIT,HIT,-0.096320
RearHook,0.69,1,120,HIT,HIT,-0.096320
RearHook,0.69,2,15,BLOCK,BLOCK,-0.179333
RearHook,0.69,2,30,BLOCK,BLOCK,-0.179333
RearHook,0.69,2,60,BLOCK,BLOCK,-0.179333
RearHook,0.69,2,120,BLOCK,BLOCK,-0.179333
LeadUppercut,1.50,0,15,MISS,MISS,0.518198
LeadUppercut,1.50,0,30,MISS,MISS,0.518198
LeadUppercut,1.50,0,60,MISS,MISS,0.518198
LeadUppercut,1.50,0,120,MISS,MISS,0.518198
LeadUppercut,1.50,1,15,MISS,MISS,0.722546
LeadUppercut,1.50,1,30,MISS,MISS,0.722546
LeadUppercut,1.50,1,60,MISS,MISS,0.722546
LeadUppercut,1.50,1,120,MISS,MISS,0.722546
LeadUppercut,1.50,2,15,MISS,MISS,0.628393
LeadUppercut,1.50,2,30,MISS,MISS,0.628393
LeadUppercut,1.50,2,60,MISS,MISS,0.628393
LeadUppercut,1.50,2,120,MISS,MISS,0.628393
LeadUppercut,0.94,0,15,MISS,MISS,0.001342
LeadUppercut,0.94,0,30,MISS,MISS,0.001342
LeadUppercut,0.94,0,60,MISS,MISS,0.001342
LeadUppercut,0.94,0,120,MISS,MISS,0.001342
LeadUppercut,0.94,1,15,MISS,MISS,0.171690
LeadUppercut,0.94,1,30,MISS,MISS,0.171690
LeadUppercut,0.94,1,60,MISS,MISS,0.171690
LeadUppercut,0.94,1,120,MISS,MISS,0.171690
LeadUppercut,0.94,2,15,MISS,MISS,0.086246
LeadUppercut,0.94,2,30,MISS,MISS,0.086246
LeadUppercut,0.94,2,60,MISS,MISS,0.086246
LeadUppercut,0.94,2,120,MISS,MISS,0.086246
LeadUppercut,0.69,0,15,BLOCK,BLOCK,-0.177553
LeadUppercut,0.69,0,30,BLOCK,BLOCK,-0.177553
LeadUppercut,0.69,0,60,BLOCK,BLOCK,-0.177553
LeadUppercut,0.69,0,120,BLOCK,BLOCK,-0.177553
LeadUppercut,0.69,1,15,HIT,HIT,-0.059840
LeadUppercut,0.69,1,30,HIT,HIT,-0.059840
LeadUppercut,0.69,1,60,HIT,HIT,-0.059840
LeadUppercut,0.69,1,120,HIT,HIT,-0.059840
LeadUppercut,0.69,2,15,BLOCK,BLOCK,-0.137467
LeadUppercut,0.69,2,30,BLOCK,BLOCK,-0.137467
LeadUppercut,0.69,2,60,BLOCK,BLOCK,-0.137467
LeadUppercut,0.69,2,120,BLOCK,BLOCK,-0.137467
RearUppercut,1.50,0,15,MISS,MISS,0.513573
